"Plot Title: G2370935_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 2370935, SEN S/N: 2370935)","Y Accel, g (LGR S/N: 2370935, SEN S/N: 2370935)","Z Accel, g (LGR S/N: 2370935, SEN S/N: 2370935)","End Of File (LGR S/N: 2370935)"
1,04/25/15 05:00:00 AM,0.975,0.000,0.000,
2,04/25/15 05:00:05 AM,0.925,0.100,-0.125,
3,04/25/15 05:00:10 AM,0.950,0.000,-0.025,
4,04/25/15 05:00:15 AM,0.925,0.075,-0.100,
5,04/25/15 05:00:20 AM,0.950,0.000,-0.125,
6,04/25/15 05:00:25 AM,0.950,0.000,-0.100,
7,04/25/15 05:00:30 AM,0.950,0.025,-0.125,
8,04/25/15 05:00:35 AM,0.950,0.050,-0.050,
9,04/25/15 05:00:40 AM,0.950,0.050,-0.075,
10,04/25/15 05:00:45 AM,0.975,0.000,0.050,
11,04/25/15 05:00:50 AM,0.950,0.100,-0.075,
12,04/25/15 05:00:55 AM,0.975,-0.025,0.000,
13,04/25/15 05:01:00 AM,0.950,0.100,-0.100,
14,04/25/15 05:01:05 AM,0.975,0.000,-0.025,
15,04/25/15 05:01:10 AM,0.950,0.000,-0.025,
16,04/25/15 05:01:15 AM,0.950,0.000,-0.075,
17,04/25/15 05:01:20 AM,0.950,-0.075,-0.075,
18,04/25/15 05:01:25 AM,0.950,0.100,-0.025,
19,04/25/15 05:01:30 AM,0.950,0.000,-0.075,
20,04/25/15 05:01:35 AM,0.950,0.100,-0.125,
21,04/25/15 05:01:40 AM,0.975,-0.075,0.025,
22,04/25/15 05:01:45 AM,0.925,0.150,-0.100,
23,04/25/15 05:01:50 AM,0.950,0.025,0.000,
24,04/25/15 05:01:55 AM,0.950,0.075,-0.125,
25,04/25/15 05:02:00 AM,0.975,0.025,-0.025,
26,04/25/15 05:02:05 AM,0.950,0.025,-0.150,
27,04/25/15 05:02:10 AM,0.975,0.050,0.000,
28,04/25/15 05:02:15 AM,0.950,0.025,-0.025,
29,04/25/15 05:02:20 AM,0.950,0.050,0.050,
30,04/25/15 05:02:25 AM,0.975,0.025,-0.025,
31,04/25/15 05:02:30 AM,0.950,0.000,-0.125,
32,04/25/15 05:02:35 AM,0.950,-0.075,0.025,
33,04/25/15 05:02:40 AM,0.950,0.100,-0.150,
34,04/25/15 05:02:45 AM,0.950,0.050,0.025,
35,04/25/15 05:02:50 AM,0.950,0.100,-0.100,
36,04/25/15 05:02:55 AM,0.950,0.050,-0.025,
37,04/25/15 05:03:00 AM,0.975,0.025,-0.075,
38,04/25/15 05:03:05 AM,0.950,-0.025,-0.050,
39,04/25/15 05:03:10 AM,0.950,0.075,-0.025,
40,04/25/15 05:03:15 AM,0.950,0.025,-0.050,
41,04/25/15 05:03:20 AM,0.950,-0.075,-0.125,
42,04/25/15 05:03:25 AM,0.925,0.125,-0.125,
43,04/25/15 05:03:30 AM,0.975,0.025,0.050,
44,04/25/15 05:03:35 AM,0.925,0.100,-0.200,
45,04/25/15 05:03:40 AM,0.950,0.025,-0.025,
46,04/25/15 05:03:45 AM,0.950,0.050,-0.150,
47,04/25/15 05:03:50 AM,0.950,0.075,-0.125,
48,04/25/15 05:03:55 AM,0.975,0.050,0.000,
49,04/25/15 05:04:00 AM,0.925,0.075,-0.200,
50,04/25/15 05:04:05 AM,0.975,0.000,0.125,
51,04/25/15 05:04:10 AM,0.925,0.100,-0.100,
52,04/25/15 05:04:15 AM,0.950,0.025,0.000,
53,04/25/15 05:04:20 AM,0.950,-0.100,-0.075,
54,04/25/15 05:04:25 AM,0.975,0.025,0.000,
55,04/25/15 05:04:30 AM,0.925,-0.150,-0.075,
56,04/25/15 05:04:35 AM,0.950,0.025,-0.025,
57,04/25/15 05:04:40 AM,0.950,-0.050,-0.025,
58,04/25/15 05:04:45 AM,0.975,0.025,-0.150,
59,04/25/15 05:04:50 AM,0.950,-0.050,-0.025,
60,04/25/15 05:04:55 AM,0.950,0.050,-0.025,
61,04/25/15 05:05:00 AM,0.925,0.025,-0.075,
62,04/25/15 05:05:05 AM,0.950,0.050,-0.050,
63,04/25/15 05:05:10 AM,0.975,0.050,0.000,
64,04/25/15 05:05:15 AM,0.950,0.075,-0.075,
65,04/25/15 05:05:20 AM,0.950,0.075,-0.075,
66,04/25/15 05:05:25 AM,0.975,0.075,0.000,
67,04/25/15 05:05:30 AM,0.950,0.075,-0.125,
68,04/25/15 05:05:35 AM,0.950,0.050,0.000,
69,04/25/15 05:05:40 AM,0.950,0.000,-0.050,
70,04/25/15 05:05:45 AM,0.950,0.075,-0.100,
71,04/25/15 05:05:50 AM,0.925,-0.050,-0.075,
72,04/25/15 05:05:55 AM,0.925,0.050,-0.200,
73,04/25/15 05:06:00 AM,0.950,-0.075,0.025,
74,04/25/15 05:06:05 AM,0.950,0.100,-0.125,
75,04/25/15 05:06:10 AM,0.950,0.050,-0.125,
76,04/25/15 05:06:15 AM,0.950,-0.125,-0.075,
77,04/25/15 05:06:20 AM,0.950,0.025,-0.150,
78,04/25/15 05:06:25 AM,0.950,-0.075,-0.075,
79,04/25/15 05:06:30 AM,0.950,0.075,-0.175,
