"Plot Title: G2370931_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 2370931, SEN S/N: 2370931)","Y Accel, g (LGR S/N: 2370931, SEN S/N: 2370931)","Z Accel, g (LGR S/N: 2370931, SEN S/N: 2370931)","End Of File (LGR S/N: 2370931)"
1,04/25/15 05:00:00 AM,0.975,-0.025,-0.100,
2,04/25/15 05:00:05 AM,0.925,0.000,-0.175,
3,04/25/15 05:00:10 AM,0.950,-0.025,-0.100,
4,04/25/15 05:00:15 AM,0.950,0.000,-0.175,
5,04/25/15 05:00:20 AM,0.975,-0.050,0.000,
6,04/25/15 05:00:25 AM,0.950,-0.075,-0.100,
7,04/25/15 05:00:30 AM,0.975,-0.075,-0.075,
8,04/25/15 05:00:35 AM,0.950,-0.025,-0.150,
9,04/25/15 05:00:40 AM,0.950,0.025,-0.150,
10,04/25/15 05:00:45 AM,0.925,-0.025,-0.150,
11,04/25/15 05:00:50 AM,0.950,0.050,-0.175,
12,04/25/15 05:00:55 AM,0.950,-0.075,-0.175,
13,04/25/15 05:01:00 AM,0.925,0.050,-0.175,
14,04/25/15 05:01:05 AM,0.975,-0.125,-0.075,
15,04/25/15 05:01:10 AM,0.950,-0.050,-0.150,
16,04/25/15 05:01:15 AM,0.975,-0.075,-0.025,
17,04/25/15 05:01:20 AM,0.975,-0.125,-0.025,
18,04/25/15 05:01:25 AM,0.925,0.050,-0.175,
19,04/25/15 05:01:30 AM,0.950,-0.025,-0.150,
20,04/25/15 05:01:35 AM,0.950,0.025,-0.175,
21,04/25/15 05:01:40 AM,0.950,-0.075,-0.075,
22,04/25/15 05:01:45 AM,0.925,0.100,-0.200,
23,04/25/15 05:01:50 AM,0.975,-0.075,-0.075,
24,04/25/15 05:01:55 AM,0.925,0.025,-0.225,
25,04/25/15 05:02:00 AM,0.975,-0.150,-0.025,
26,04/25/15 05:02:05 AM,0.950,-0.075,-0.175,
27,04/25/15 05:02:10 AM,0.950,-0.100,-0.075,
28,04/25/15 05:02:15 AM,0.950,-0.075,-0.150,
29,04/25/15 05:02:20 AM,0.950,0.000,-0.125,
30,04/25/15 05:02:25 AM,0.975,-0.075,-0.050,
31,04/25/15 05:02:30 AM,0.925,-0.075,-0.150,
32,04/25/15 05:02:35 AM,0.975,-0.075,0.025,
33,04/25/15 05:02:40 AM,0.925,0.025,-0.225,
34,04/25/15 05:02:45 AM,0.975,-0.075,0.050,
35,04/25/15 05:02:50 AM,0.925,0.025,-0.175,
36,04/25/15 05:02:55 AM,0.975,-0.075,0.025,
37,04/25/15 05:03:00 AM,0.975,-0.025,-0.050,
38,04/25/15 05:03:05 AM,0.975,-0.050,-0.100,
39,04/25/15 05:03:10 AM,0.925,0.025,-0.225,
40,04/25/15 05:03:15 AM,0.975,-0.025,-0.100,
41,04/25/15 05:03:20 AM,0.975,-0.075,-0.100,
42,04/25/15 05:03:25 AM,0.925,0.025,-0.225,
43,04/25/15 05:03:30 AM,0.975,-0.100,0.025,
44,04/25/15 05:03:35 AM,0.900,0.050,-0.275,
