"Plot Title: G9903339_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","X Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Y Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","Z Accel, g (LGR S/N: 9903339, SEN S/N: 9903339)","End Of File (LGR S/N: 9903339)"
97,04/25/15 05:08:00 AM,0.975,0.075,-0.225,
98,04/25/15 05:08:05 AM,0.975,-0.075,-0.100,
99,04/25/15 05:08:10 AM,0.975,0.050,-0.250,
100,04/25/15 05:08:15 AM,0.975,0.025,-0.075,
101,04/25/15 05:08:20 AM,0.975,-0.125,-0.100,
102,04/25/15 05:08:25 AM,0.975,0.025,-0.225,
103,04/25/15 05:08:30 AM,0.975,-0.025,-0.050,
104,04/25/15 05:08:35 AM,0.975,-0.075,-0.175,
105,04/25/15 05:08:40 AM,0.975,0.050,-0.100,
106,04/25/15 05:08:45 AM,0.975,-0.075,-0.200,
107,04/25/15 05:08:50 AM,0.950,0.050,-0.250,
108,04/25/15 05:08:55 AM,0.975,-0.175,-0.100,
109,04/25/15 05:09:00 AM,0.975,-0.025,-0.175,
110,04/25/15 05:09:05 AM,0.975,0.025,-0.250,
111,04/25/15 05:09:10 AM,0.975,-0.100,-0.075,
112,04/25/15 05:09:15 AM,0.975,0.025,-0.225,
113,04/25/15 05:09:20 AM,0.975,-0.025,-0.225,
114,04/25/15 05:09:25 AM,0.975,0.025,-0.250,
115,04/25/15 05:09:30 AM,0.975,-0.100,-0.275,
116,04/25/15 05:09:35 AM,0.975,-0.050,-0.200,
117,04/25/15 05:09:40 AM,0.975,-0.075,-0.175,
118,04/25/15 05:09:45 AM,0.975,0.050,-0.250,
119,04/25/15 05:09:50 AM,0.975,-0.150,-0.125,
120,04/25/15 05:09:55 AM,0.975,0.025,-0.275,
121,04/25/15 05:10:00 AM,0.975,-0.025,-0.050,
122,04/25/15 05:10:05 AM,0.975,0.050,-0.250,
123,04/25/15 05:10:10 AM,0.975,0.025,-0.175,
124,04/25/15 05:10:15 AM,0.975,0.050,-0.200,
125,04/25/15 05:10:20 AM,0.950,0.025,-0.275,
126,04/25/15 05:10:25 AM,0.975,0.025,-0.175,
127,04/25/15 05:10:30 AM,0.975,-0.025,-0.175,
128,04/25/15 05:10:35 AM,0.975,-0.100,-0.200,
129,04/25/15 05:10:40 AM,0.975,0.025,-0.175,
130,04/25/15 05:10:45 AM,0.950,0.025,-0.275,
131,04/25/15 05:10:50 AM,0.975,0.025,-0.225,
132,04/25/15 05:10:55 AM,0.975,-0.025,-0.250,
133,04/25/15 05:11:00 AM,0.950,0.025,-0.275,
134,04/25/15 05:11:05 AM,0.950,0.025,-0.325,
135,04/25/15 05:11:10 AM,0.975,-0.150,-0.150,
136,04/25/15 05:11:15 AM,0.975,0.050,-0.250,
137,04/25/15 05:11:20 AM,0.975,-0.125,-0.025,
138,04/25/15 05:11:25 AM,0.975,0.075,-0.250,
139,04/25/15 05:11:30 AM,0.975,0.025,-0.200,
140,04/25/15 05:11:35 AM,0.975,-0.025,-0.175,
141,04/25/15 05:11:40 AM,0.950,-0.075,-0.225,
142,04/25/15 05:11:45 AM,0.975,-0.025,-0.100,
143,04/25/15 05:11:50 AM,0.975,0.025,-0.200,
144,04/25/15 05:11:55 AM,0.975,-0.125,-0.025,
145,04/25/15 05:12:00 AM,0.975,-0.075,-0.225,
146,04/25/15 05:12:05 AM,0.975,-0.100,-0.125,
147,04/25/15 05:12:10 AM,0.975,-0.075,-0.200,
148,04/25/15 05:12:15 AM,0.975,0.075,-0.175,
149,04/25/15 05:12:20 AM,0.975,-0.125,-0.175,
150,04/25/15 05:12:25 AM,0.950,0.075,-0.275,
151,04/25/15 05:12:30 AM,0.975,-0.075,-0.100,
152,04/25/15 05:12:35 AM,0.950,0.125,-0.325,
153,04/25/15 05:12:40 AM,0.975,-0.100,-0.075,
154,04/25/15 05:12:45 AM,0.975,0.025,-0.150,
155,04/25/15 05:12:50 AM,0.975,0.050,-0.175,
156,04/25/15 05:12:55 AM,0.975,0.000,-0.100,
157,04/25/15 05:13:00 AM,0.950,0.050,-0.300,
158,04/25/15 05:13:05 AM,0.975,0.075,-0.175,
159,04/25/15 05:13:10 AM,0.975,-0.025,-0.225,
160,04/25/15 05:13:15 AM,0.975,0.050,-0.300,
161,04/25/15 05:13:20 AM,0.975,0.000,-0.250,
162,04/25/15 05:13:25 AM,0.975,-0.025,-0.200,
163,04/25/15 05:13:30 AM,0.975,0.050,-0.250,
164,04/25/15 05:13:35 AM,0.975,0.000,-0.175,
165,04/25/15 05:13:40 AM,0.975,0.025,-0.225,
166,04/25/15 05:13:45 AM,0.975,-0.050,-0.150,
167,04/25/15 05:13:50 AM,0.975,-0.025,-0.175,
168,04/25/15 05:13:55 AM,0.975,0.025,-0.200,
169,04/25/15 05:14:00 AM,0.975,-0.025,-0.125,
170,04/25/15 05:14:05 AM,0.975,0.075,-0.250,
171,04/25/15 05:14:10 AM,0.975,0.000,-0.225,
172,04/25/15 05:14:15 AM,0.975,0.000,-0.225,
173,04/25/15 05:14:20 AM,0.950,0.000,-0.275,
174,04/25/15 05:14:25 AM,0.975,-0.050,-0.125,
175,04/25/15 05:14:30 AM,0.975,-0.075,0.000,
176,04/25/15 05:14:35 AM,0.975,0.000,-0.275,
177,04/25/15 05:14:40 AM,0.975,-0.050,-0.150,
178,04/25/15 05:14:45 AM,0.975,-0.050,-0.175,
179,04/25/15 05:14:50 AM,0.975,0.075,-0.125,
180,04/25/15 05:14:55 AM,0.975,-0.125,0.050,
181,04/25/15 05:15:00 AM,0.950,0.175,-0.250,
182,04/25/15 05:15:05 AM,0.975,-0.025,-0.025,
183,04/25/15 05:15:10 AM,0.975,0.025,-0.200,
184,04/25/15 05:15:15 AM,0.975,0.025,-0.150,
185,04/25/15 05:15:20 AM,0.975,0.000,-0.250,
186,04/25/15 05:15:25 AM,0.975,0.075,-0.200,
187,04/25/15 05:15:30 AM,0.975,-0.100,-0.125,
188,04/25/15 05:15:35 AM,0.975,0.000,-0.275,
189,04/25/15 05:15:40 AM,0.975,0.025,-0.175,
190,04/25/15 05:15:45 AM,0.975,-0.075,-0.225,
191,04/25/15 05:15:50 AM,0.975,-0.025,-0.125,
192,04/25/15 05:15:55 AM,0.975,-0.150,-0.175,
193,04/25/15 05:16:00 AM,0.975,-0.025,-0.125,
194,04/25/15 05:16:05 AM,0.975,-0.025,-0.225,
195,04/25/15 05:16:10 AM,0.975,-0.100,-0.175,
196,04/25/15 05:16:15 AM,0.975,-0.025,-0.150,
197,04/25/15 05:16:20 AM,0.975,0.000,-0.225,
198,04/25/15 05:16:25 AM,0.975,-0.100,-0.075,
199,04/25/15 05:16:30 AM,0.975,0.050,-0.100,
200,04/25/15 05:16:35 AM,0.975,0.025,0.025,
201,04/25/15 05:16:40 AM,0.925,0.175,-0.375,
202,04/25/15 05:16:45 AM,0.975,-0.025,-0.125,
203,04/25/15 05:16:50 AM,0.975,0.025,-0.175,
204,04/25/15 05:16:55 AM,0.950,0.025,-0.275,
205,04/25/15 05:17:00 AM,0.975,-0.025,-0.075,
206,04/25/15 05:17:05 AM,0.975,0.025,-0.275,
207,04/25/15 05:17:10 AM,0.975,-0.175,-0.025,
208,04/25/15 05:17:15 AM,0.950,0.025,-0.325,
209,04/25/15 05:17:20 AM,0.975,-0.075,-0.150,
210,04/25/15 05:17:25 AM,0.975,-0.125,-0.150,
211,04/25/15 05:17:30 AM,0.950,0.075,-0.275,
212,04/25/15 05:17:35 AM,0.975,-0.175,0.075,
213,04/25/15 05:17:40 AM,0.975,0.150,-0.200,
214,04/25/15 05:17:45 AM,0.975,-0.075,-0.075,
215,04/25/15 05:17:50 AM,0.975,-0.025,-0.175,
216,04/25/15 05:17:55 AM,0.975,0.025,-0.050,
217,04/25/15 05:18:00 AM,0.975,-0.025,-0.100,
218,04/25/15 05:18:05 AM,0.975,0.050,-0.250,
219,04/25/15 05:18:10 AM,0.975,-0.125,0.025,
220,04/25/15 05:18:15 AM,0.950,0.075,-0.300,
221,04/25/15 05:18:20 AM,0.975,0.025,-0.175,
222,04/25/15 05:18:25 AM,0.975,0.025,-0.200,
223,04/25/15 05:18:30 AM,0.975,0.025,-0.175,
224,04/25/15 05:18:35 AM,0.975,-0.100,-0.125,
225,04/25/15 05:18:40 AM,0.975,0.025,-0.250,
226,04/25/15 05:18:45 AM,0.975,-0.025,-0.100,
227,04/25/15 05:18:50 AM,0.975,-0.050,-0.200,
228,04/25/15 05:18:55 AM,0.975,0.025,-0.300,
229,04/25/15 05:19:00 AM,0.975,-0.075,-0.175,
230,04/25/15 05:19:05 AM,0.925,0.125,-0.350,
231,04/25/15 05:19:10 AM,0.975,-0.200,0.025,
232,04/25/15 05:19:15 AM,0.925,0.225,-0.325,
233,04/25/15 05:19:20 AM,0.975,0.000,-0.075,
234,04/25/15 05:19:25 AM,0.975,0.000,-0.250,
235,04/25/15 05:19:30 AM,0.975,-0.125,-0.150,
236,04/25/15 05:19:35 AM,0.975,0.025,-0.225,
237,04/25/15 05:19:40 AM,0.975,-0.025,-0.150,
238,04/25/15 05:19:45 AM,0.950,0.000,-0.275,
239,04/25/15 05:19:50 AM,0.975,0.100,-0.125,
240,04/25/15 05:19:55 AM,0.975,-0.125,-0.125,
241,04/25/15 05:20:00 AM,0.975,0.075,-0.225,
242,04/25/15 05:20:05 AM,0.975,-0.025,0.075,
243,04/25/15 05:20:10 AM,0.975,0.025,-0.225,
244,04/25/15 05:20:15 AM,0.975,0.000,-0.050,
245,04/25/15 05:20:20 AM,0.975,-0.125,0.000,
246,04/25/15 05:20:25 AM,0.975,0.025,-0.250,
247,04/25/15 05:20:30 AM,0.975,-0.050,-0.150,
248,04/25/15 05:20:35 AM,0.975,0.025,-0.175,
249,04/25/15 05:20:40 AM,0.975,0.025,-0.275,
250,04/25/15 05:20:45 AM,0.975,-0.075,-0.125,
251,04/25/15 05:20:50 AM,0.950,0.025,-0.275,
252,04/25/15 05:20:55 AM,0.975,-0.025,-0.175,
253,04/25/15 05:21:00 AM,0.975,0.025,-0.225,
254,04/25/15 05:21:05 AM,0.975,-0.025,-0.150,
255,04/25/15 05:21:10 AM,0.975,-0.100,-0.125,
256,04/25/15 05:21:15 AM,0.950,0.075,-0.300,
257,04/25/15 05:21:20 AM,0.975,-0.100,-0.025,
258,04/25/15 05:21:25 AM,0.975,-0.050,-0.200,
259,04/25/15 05:21:30 AM,0.975,0.025,-0.075,
260,04/25/15 05:21:35 AM,0.975,-0.075,-0.075,
261,04/25/15 05:21:40 AM,0.975,0.100,-0.175,
262,04/25/15 05:21:45 AM,0.975,-0.100,0.050,
