"Plot Title: G10091230_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Max: X Accel, g (LGR S/N: 10091230)","Max: Y Accel, g (LGR S/N: 10091230)","Max: Z Accel, g (LGR S/N: 10091230)","End Of File (LGR S/N: 10091230)"
54,04/25/15 06:46:00 AM,0.975,0.100,-0.175,
55,04/25/15 06:48:00 AM,0.975,0.075,-0.200,
56,04/25/15 06:50:00 AM,0.975,0.075,-0.175,
57,04/25/15 06:52:00 AM,0.975,0.100,-0.175,
58,04/25/15 06:54:00 AM,0.975,0.075,-0.200,
59,04/25/15 06:56:00 AM,0.975,0.075,-0.200,
60,04/25/15 06:58:00 AM,0.975,0.075,-0.175,
61,04/25/15 07:00:00 AM,0.975,0.050,-0.200,
62,04/25/15 07:02:00 AM,0.975,0.100,-0.200,
63,04/25/15 07:04:00 AM,0.975,0.050,-0.150,
64,04/25/15 07:06:00 AM,0.975,0.075,-0.225,
65,04/25/15 07:08:00 AM,0.975,0.050,-0.200,
66,04/25/15 07:10:00 AM,0.975,0.075,-0.200,
67,04/25/15 07:12:00 AM,0.975,0.075,-0.200,
68,04/25/15 07:14:00 AM,0.975,0.050,-0.225,
69,04/25/15 07:16:00 AM,0.975,0.075,-0.175,
70,04/25/15 07:18:00 AM,0.975,0.100,-0.225,
71,04/25/15 07:20:00 AM,0.975,0.075,-0.150,
72,04/25/15 07:22:00 AM,0.975,0.075,-0.200,
73,04/25/15 07:24:00 AM,0.975,0.100,-0.225,
74,04/25/15 07:26:00 AM,0.975,0.025,-0.175,
75,04/25/15 07:28:00 AM,0.975,0.075,-0.225,
76,04/25/15 07:30:00 AM,0.975,0.075,-0.200,
77,04/25/15 07:32:00 AM,0.975,0.075,-0.200,
78,04/25/15 07:34:00 AM,0.975,0.050,-0.200,
79,04/25/15 07:36:00 AM,0.975,0.075,-0.250,
80,04/25/15 07:38:00 AM,0.975,0.075,-0.175,
81,04/25/15 07:40:00 AM,0.975,0.075,-0.175,
82,04/25/15 07:42:00 AM,0.975,0.125,-0.225,
83,04/25/15 07:44:00 AM,0.975,0.100,-0.175,
84,04/25/15 07:46:00 AM,0.975,0.075,-0.225,
85,04/25/15 07:48:00 AM,0.975,0.075,-0.200,
86,04/25/15 07:50:00 AM,0.975,0.050,-0.175,
87,04/25/15 07:52:00 AM,0.975,0.100,-0.225,
88,04/25/15 07:54:00 AM,0.975,0.050,-0.200,
89,04/25/15 07:56:00 AM,0.975,0.050,-0.225,
90,04/25/15 07:58:00 AM,0.975,0.050,-0.200,
91,04/25/15 08:00:00 AM,0.975,0.075,-0.175,
92,04/25/15 08:02:00 AM,0.975,0.125,-0.200,
93,04/25/15 08:04:00 AM,0.975,0.050,-0.200,
94,04/25/15 08:06:00 AM,0.975,0.025,-0.200,
95,04/25/15 08:08:00 AM,0.975,0.075,-0.175,
96,04/25/15 08:10:00 AM,0.975,0.050,-0.225,
97,04/25/15 08:12:00 AM,0.975,0.125,-0.225,
98,04/25/15 08:14:00 AM,0.975,0.075,-0.200,
99,04/25/15 08:16:00 AM,0.975,0.050,-0.200,
100,04/25/15 08:18:00 AM,0.975,0.100,-0.200,
101,04/25/15 08:20:00 AM,0.975,0.075,-0.150,
102,04/25/15 08:22:00 AM,0.975,0.050,-0.200,
103,04/25/15 08:24:00 AM,0.975,0.075,-0.200,
104,04/25/15 08:26:00 AM,0.975,0.075,-0.225,
105,04/25/15 08:28:00 AM,0.975,0.050,-0.175,
106,04/25/15 08:30:00 AM,0.975,0.100,-0.200,
107,04/25/15 08:32:00 AM,0.975,0.050,-0.225,
108,04/25/15 08:34:00 AM,0.975,0.075,-0.225,
109,04/25/15 08:36:00 AM,0.975,0.025,-0.225,
110,04/25/15 08:38:00 AM,0.975,0.050,-0.175,
111,04/25/15 08:40:00 AM,0.975,0.050,-0.225,
112,04/25/15 08:42:00 AM,0.975,0.075,-0.225,
113,04/25/15 08:44:00 AM,0.975,0.050,-0.225,
114,04/25/15 08:46:00 AM,0.975,0.075,-0.200,
115,04/25/15 08:48:00 AM,0.975,0.025,-0.200,
116,04/25/15 08:50:00 AM,0.975,0.050,-0.225,
117,04/25/15 08:52:00 AM,0.975,0.075,-0.225,
118,04/25/15 08:54:00 AM,0.975,0.100,-0.225,
119,04/25/15 08:56:00 AM,0.975,0.100,-0.225,
120,04/25/15 08:58:00 AM,0.975,0.050,-0.200,
121,04/25/15 09:00:00 AM,0.975,0.075,-0.175,
122,04/25/15 09:02:00 AM,0.975,0.050,-0.250,
123,04/25/15 09:04:00 AM,0.975,0.050,-0.200,
124,04/25/15 09:06:00 AM,0.975,0.100,-0.200,
125,04/25/15 09:08:00 AM,0.975,0.075,-0.225,
126,04/25/15 09:10:00 AM,0.975,0.075,-0.200,
127,04/25/15 09:12:00 AM,0.975,0.050,-0.225,
128,04/25/15 09:14:00 AM,0.975,0.075,-0.225,
129,04/25/15 09:16:00 AM,0.975,0.125,-0.225,
130,04/25/15 09:18:00 AM,0.975,0.075,-0.225,
131,04/25/15 09:20:00 AM,0.975,0.050,-0.200,
132,04/25/15 09:22:00 AM,0.975,0.100,-0.200,
133,04/25/15 09:24:00 AM,0.975,0.100,-0.200,
134,04/25/15 09:26:00 AM,0.975,0.075,-0.200,
135,04/25/15 09:28:00 AM,0.975,0.075,-0.175,
136,04/25/15 09:30:00 AM,0.975,0.125,-0.200,
137,04/25/15 09:32:00 AM,0.975,0.075,-0.225,
138,04/25/15 09:34:00 AM,0.975,0.075,-0.225,
139,04/25/15 09:36:00 AM,0.975,0.125,-0.200,
140,04/25/15 09:38:00 AM,0.975,0.075,-0.225,
141,04/25/15 09:40:00 AM,0.975,0.100,-0.175,
142,04/25/15 09:42:00 AM,0.975,0.100,-0.200,
143,04/25/15 09:44:00 AM,0.975,0.150,-0.200,
144,04/25/15 09:46:00 AM,0.975,0.100,-0.175,
145,04/25/15 09:48:00 AM,0.975,0.125,-0.200,
146,04/25/15 09:50:00 AM,0.975,0.100,-0.200,
147,04/25/15 09:52:00 AM,0.975,0.100,-0.200,
148,04/25/15 09:54:00 AM,0.975,0.100,-0.175,
149,04/25/15 09:56:00 AM,0.975,0.100,-0.225,
150,04/25/15 09:58:00 AM,0.975,0.150,-0.200,
151,04/25/15 10:00:00 AM,0.975,0.075,-0.200,
152,04/25/15 10:02:00 AM,0.975,0.125,-0.225,
153,04/25/15 10:04:00 AM,0.975,0.125,-0.150,
154,04/25/15 10:06:00 AM,0.975,0.075,-0.200,
155,04/25/15 10:08:00 AM,0.975,0.125,-0.200,
156,04/25/15 10:10:00 AM,0.975,0.100,-0.200,
157,04/25/15 10:12:00 AM,0.975,0.175,-0.225,
158,04/25/15 10:14:00 AM,0.975,0.100,-0.225,
159,04/25/15 10:16:00 AM,0.975,0.100,-0.225,
160,04/25/15 10:18:00 AM,0.975,0.125,-0.175,
161,04/25/15 10:20:00 AM,0.975,0.100,-0.200,
162,04/25/15 10:22:00 AM,0.975,0.125,-0.175,
163,04/25/15 10:24:00 AM,0.975,0.075,-0.200,
164,04/25/15 10:26:00 AM,0.975,0.125,-0.225,
165,04/25/15 10:28:00 AM,0.975,0.125,-0.200,
166,04/25/15 10:30:00 AM,0.975,0.150,-0.175,
167,04/25/15 10:32:00 AM,0.975,0.125,-0.175,
168,04/25/15 10:34:00 AM,0.975,0.100,-0.175,
169,04/25/15 10:36:00 AM,0.975,0.175,-0.225,
170,04/25/15 10:38:00 AM,0.975,0.150,-0.225,
171,04/25/15 10:40:00 AM,0.975,0.175,-0.225,
172,04/25/15 10:42:00 AM,0.975,0.150,-0.150,
173,04/25/15 10:44:00 AM,0.975,0.175,-0.200,
174,04/25/15 10:46:00 AM,0.975,0.150,-0.175,
175,04/25/15 10:48:00 AM,0.975,0.225,-0.200,
176,04/25/15 10:50:00 AM,0.975,0.125,-0.175,
177,04/25/15 10:52:00 AM,0.975,0.175,-0.200,
178,04/25/15 10:54:00 AM,0.975,0.150,-0.200,
179,04/25/15 10:56:00 AM,0.975,0.125,-0.175,
180,04/25/15 10:58:00 AM,0.975,0.175,-0.175,
181,04/25/15 11:00:00 AM,0.975,0.125,-0.200,
182,04/25/15 11:02:00 AM,0.975,0.125,-0.175,
183,04/25/15 11:04:00 AM,0.975,0.175,-0.200,
184,04/25/15 11:06:00 AM,0.975,0.125,-0.200,
185,04/25/15 11:08:00 AM,0.975,0.125,-0.175,
186,04/25/15 11:10:00 AM,0.975,0.125,-0.200,
187,04/25/15 11:12:00 AM,0.975,0.125,-0.200,
188,04/25/15 11:14:00 AM,0.975,0.150,-0.200,
189,04/25/15 11:16:00 AM,0.975,0.150,-0.175,
190,04/25/15 11:18:00 AM,0.975,0.125,-0.200,
191,04/25/15 11:20:00 AM,0.975,0.150,-0.200,
192,04/25/15 11:22:00 AM,0.975,0.175,-0.200,
193,04/25/15 11:24:00 AM,0.975,0.125,-0.225,
194,04/25/15 11:26:00 AM,0.975,0.150,-0.200,
195,04/25/15 11:28:00 AM,0.975,0.125,-0.200,
196,04/25/15 11:30:00 AM,0.975,0.125,-0.200,
197,04/25/15 11:32:00 AM,0.975,0.100,-0.200,
198,04/25/15 11:34:00 AM,0.975,0.125,-0.200,
199,04/25/15 11:36:00 AM,0.975,0.175,-0.150,
200,04/25/15 11:38:00 AM,0.975,0.150,-0.200,
201,04/25/15 11:40:00 AM,0.975,0.150,-0.200,
202,04/25/15 11:42:00 AM,0.975,0.125,-0.225,
203,04/25/15 11:44:00 AM,0.975,0.150,-0.200,
204,04/25/15 11:46:00 AM,0.975,0.125,-0.200,
205,04/25/15 11:48:00 AM,0.975,0.150,-0.150,
206,04/25/15 11:50:00 AM,0.975,0.075,-0.200,
207,04/25/15 11:52:00 AM,0.975,0.150,-0.175,
208,04/25/15 11:54:00 AM,0.975,0.150,-0.200,
209,04/25/15 11:56:00 AM,0.975,0.125,-0.200,
210,04/25/15 11:58:00 AM,0.975,0.175,-0.225,
211,04/25/15 12:00:00 PM,0.975,0.175,-0.200,
212,04/25/15 12:02:00 PM,0.975,0.125,-0.225,
213,04/25/15 12:04:00 PM,0.975,0.175,-0.200,
214,04/25/15 12:06:00 PM,0.975,0.125,-0.225,
215,04/25/15 12:08:00 PM,0.975,0.150,-0.200,
216,04/25/15 12:10:00 PM,0.975,0.125,-0.200,
217,04/25/15 12:12:00 PM,0.975,0.125,-0.225,
218,04/25/15 12:14:00 PM,0.975,0.150,-0.200,
219,04/25/15 12:16:00 PM,0.975,0.200,-0.200,
220,04/25/15 12:18:00 PM,0.975,0.150,-0.225,
221,04/25/15 12:20:00 PM,0.975,0.175,-0.225,
222,04/25/15 12:22:00 PM,0.975,0.175,-0.225,
223,04/25/15 12:24:00 PM,0.975,0.150,-0.200,
224,04/25/15 12:26:00 PM,0.975,0.125,-0.200,
225,04/25/15 12:28:00 PM,0.975,0.150,-0.225,
226,04/25/15 12:30:00 PM,0.975,0.150,-0.175,
227,04/25/15 12:32:00 PM,0.975,0.175,-0.225,
228,04/25/15 12:34:00 PM,0.975,0.175,-0.225,
229,04/25/15 12:36:00 PM,0.975,0.150,-0.225,
230,04/25/15 12:38:00 PM,0.975,0.175,-0.200,
231,04/25/15 12:40:00 PM,0.975,0.150,-0.175,
232,04/25/15 12:42:00 PM,0.975,0.150,-0.175,
233,04/25/15 12:44:00 PM,0.975,0.150,-0.200,
234,04/25/15 12:46:00 PM,0.975,0.150,-0.200,
235,04/25/15 12:48:00 PM,0.975,0.125,-0.200,
236,04/25/15 12:50:00 PM,0.975,0.125,-0.225,
237,04/25/15 12:52:00 PM,0.975,0.125,-0.200,
238,04/25/15 12:54:00 PM,0.975,0.125,-0.200,
239,04/25/15 12:56:00 PM,0.975,0.125,-0.200,
240,04/25/15 12:58:00 PM,0.975,0.125,-0.225,
241,04/25/15 01:00:00 PM,0.975,0.125,-0.150,
242,04/25/15 01:02:00 PM,0.975,0.150,-0.200,
243,04/25/15 01:04:00 PM,0.975,0.125,-0.225,
244,04/25/15 01:06:00 PM,0.975,0.125,-0.175,
245,04/25/15 01:08:00 PM,0.975,0.150,-0.200,
246,04/25/15 01:10:00 PM,0.975,0.100,-0.200,
247,04/25/15 01:12:00 PM,0.975,0.125,-0.200,
248,04/25/15 01:14:00 PM,0.975,0.125,-0.200,
249,04/25/15 01:16:00 PM,0.975,0.125,-0.225,
250,04/25/15 01:18:00 PM,0.975,0.150,-0.175,
251,04/25/15 01:20:00 PM,0.975,0.125,-0.175,
252,04/25/15 01:22:00 PM,0.975,0.150,-0.200,
253,04/25/15 01:24:00 PM,0.975,0.125,-0.200,
254,04/25/15 01:26:00 PM,0.975,0.150,-0.175,
255,04/25/15 01:28:00 PM,0.975,0.150,-0.225,
