"Plot Title: 9775645_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 9775645, SEN S/N: 9775645)","Intensity, Lux (LGR S/N: 9775645, SEN S/N: 9775645)"
1,04/23/15 11:15:00 PM,27.272,1377.8
2,04/23/15 11:15:30 PM,26.977,1367.0
3,04/23/15 11:16:00 PM,26.781,1356.3
4,04/23/15 11:16:30 PM,26.585,1345.5
5,04/23/15 11:17:00 PM,26.390,1324.0
6,04/23/15 11:17:30 PM,26.195,1324.0
7,04/23/15 11:18:00 PM,26.000,1313.2
8,04/23/15 11:18:30 PM,25.805,1302.4
9,04/23/15 11:19:00 PM,25.708,1280.9
10,04/23/15 11:19:30 PM,25.513,1270.1
11,04/23/15 11:20:00 PM,25.319,1248.6
12,04/23/15 11:20:30 PM,25.222,1237.9
13,04/23/15 11:21:00 PM,25.125,1227.1
14,04/23/15 11:21:30 PM,24.931,1205.6
15,04/23/15 11:22:00 PM,24.835,1194.8
16,04/23/15 11:22:30 PM,24.738,1173.3
17,04/23/15 11:23:00 PM,24.641,1162.5
18,04/23/15 11:23:30 PM,24.545,1141.0
19,04/23/15 11:24:00 PM,24.448,1119.5
20,04/23/15 11:24:30 PM,24.351,1097.9
21,04/23/15 11:25:00 PM,24.255,1076.4
22,04/23/15 11:25:30 PM,24.255,1054.9
23,04/23/15 11:26:00 PM,24.158,1033.3
24,04/23/15 11:26:30 PM,24.062,1022.6
25,04/23/15 11:27:00 PM,24.062,1001.0
26,04/23/15 11:27:30 PM,23.966,990.3
27,04/23/15 11:28:00 PM,23.869,979.5
28,04/23/15 11:28:30 PM,23.869,958.0
29,04/23/15 11:29:00 PM,23.773,936.5
30,04/23/15 11:29:30 PM,23.773,925.7
31,04/23/15 11:30:00 PM,23.677,914.9
32,04/23/15 11:30:30 PM,23.677,893.4
33,04/23/15 11:31:00 PM,23.581,882.6
34,04/23/15 11:31:30 PM,23.581,871.9
35,04/23/15 11:32:00 PM,23.484,861.1
36,04/23/15 11:32:30 PM,23.484,850.4
37,04/23/15 11:33:00 PM,23.484,839.6
38,04/23/15 11:33:30 PM,23.388,828.8
39,04/23/15 11:34:00 PM,23.388,818.1
40,04/23/15 11:34:30 PM,23.388,807.3
