"Plot Title: L9728457_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 9728457, SEN S/N: 9728457, LBL: Temperature)","Intensity, Lux (LGR S/N: 9728457, SEN S/N: 9728457, LBL: Light)"
1,04/23/15 11:00:00 PM,25.610,1980.6
2,04/23/15 11:00:30 PM,25.513,1980.6
3,04/23/15 11:01:00 PM,25.513,1894.5
4,04/23/15 11:01:30 PM,25.416,1894.5
5,04/23/15 11:02:00 PM,25.416,1894.5
6,04/23/15 11:02:30 PM,25.319,1808.3
7,04/23/15 11:03:00 PM,25.319,1808.3
8,04/23/15 11:03:30 PM,25.222,1808.3
9,04/23/15 11:04:00 PM,25.222,1808.3
10,04/23/15 11:04:30 PM,25.125,1808.3
11,04/23/15 11:05:00 PM,25.125,1808.3
12,04/23/15 11:05:30 PM,25.028,1722.2
13,04/23/15 11:06:00 PM,25.028,1722.2
14,04/23/15 11:06:30 PM,25.028,1722.2
15,04/23/15 11:07:00 PM,24.931,1722.2
16,04/23/15 11:07:30 PM,24.931,1722.2
17,04/23/15 11:08:00 PM,24.835,1722.2
18,04/23/15 11:08:30 PM,24.835,1636.1
19,04/23/15 11:09:00 PM,24.835,1636.1
20,04/23/15 11:09:30 PM,24.738,1636.1
21,04/23/15 11:10:00 PM,24.738,1636.1
22,04/23/15 11:10:30 PM,24.738,1636.1
23,04/23/15 11:11:00 PM,24.641,1636.1
24,04/23/15 11:11:30 PM,24.641,1636.1
25,04/23/15 11:12:00 PM,24.641,1550.0
26,04/23/15 11:12:30 PM,24.545,1550.0
27,04/23/15 11:13:00 PM,24.545,1550.0
28,04/23/15 11:13:30 PM,24.545,1550.0
29,04/23/15 11:14:00 PM,24.545,1550.0
30,04/23/15 11:14:30 PM,24.448,1550.0
31,04/23/15 11:15:00 PM,24.448,1550.0
32,04/23/15 11:15:30 PM,24.448,1463.9
33,04/23/15 11:16:00 PM,24.351,1463.9
34,04/23/15 11:16:30 PM,24.351,1463.9
35,04/23/15 11:17:00 PM,24.351,1463.9
36,04/23/15 11:17:30 PM,24.351,1463.9
37,04/23/15 11:18:00 PM,24.255,1463.9
38,04/23/15 11:18:30 PM,24.255,1463.9
39,04/23/15 11:19:00 PM,24.255,1377.8
40,04/23/15 11:19:30 PM,24.255,1377.8
41,04/23/15 11:20:00 PM,24.158,1377.8
42,04/23/15 11:20:30 PM,24.158,1377.8
43,04/23/15 11:21:00 PM,24.158,1377.8
44,04/23/15 11:21:30 PM,24.062,1377.8
45,04/23/15 11:22:00 PM,24.062,1356.3
46,04/23/15 11:22:30 PM,24.062,1334.7
47,04/23/15 11:23:00 PM,24.062,1324.0
48,04/23/15 11:23:30 PM,24.062,1302.4
49,04/23/15 11:24:00 PM,23.966,1280.9
50,04/23/15 11:24:30 PM,23.966,1259.4
51,04/23/15 11:25:00 PM,23.966,1237.9
52,04/23/15 11:25:30 PM,23.966,1205.6
53,04/23/15 11:26:00 PM,23.869,1194.8
54,04/23/15 11:26:30 PM,23.869,1162.5
55,04/23/15 11:27:00 PM,23.869,1151.7
56,04/23/15 11:27:30 PM,23.869,1141.0
57,04/23/15 11:28:00 PM,23.869,1119.5
58,04/23/15 11:28:30 PM,23.773,1108.7
59,04/23/15 11:29:00 PM,23.773,1087.2
60,04/23/15 11:29:30 PM,23.773,1076.4
61,04/23/15 11:30:00 PM,23.773,1054.9
62,04/23/15 11:30:30 PM,23.677,1044.1
63,04/23/15 11:31:00 PM,23.677,1022.6
64,04/23/15 11:31:30 PM,23.677,1011.8
65,04/23/15 11:32:00 PM,23.677,1001.0
66,04/23/15 11:32:30 PM,23.581,990.3
67,04/23/15 11:33:00 PM,23.581,979.5
68,04/23/15 11:33:30 PM,23.581,968.8
69,04/23/15 11:34:00 PM,23.581,958.0
70,04/23/15 11:34:30 PM,23.581,947.2
71,04/23/15 11:35:00 PM,23.581,925.7
72,04/23/15 11:35:30 PM,23.484,914.9
73,04/23/15 11:36:00 PM,23.484,904.2
74,04/23/15 11:36:30 PM,23.484,893.4
75,04/23/15 11:37:00 PM,23.484,893.4
76,04/23/15 11:37:30 PM,23.484,882.6
77,04/23/15 11:38:00 PM,23.388,882.6
78,04/23/15 11:38:30 PM,23.388,871.9
79,04/23/15 11:39:00 PM,23.388,861.1
80,04/23/15 11:39:30 PM,23.388,861.1
81,04/23/15 11:40:00 PM,23.388,850.4
82,04/23/15 11:40:30 PM,23.388,850.4
83,04/23/15 11:41:00 PM,23.292,839.6
84,04/23/15 11:41:30 PM,23.292,839.6
85,04/23/15 11:42:00 PM,23.292,828.8
86,04/23/15 11:42:30 PM,23.292,828.8
