"Plot Title: 9899688_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 9899688, SEN S/N: 9899688)","Intensity, Lux (LGR S/N: 9899688, SEN S/N: 9899688)"
1,04/23/15 11:05:00 PM,23.773,1636.1
2,04/23/15 11:05:30 PM,23.773,1636.1
3,04/23/15 11:06:00 PM,23.773,1636.1
4,04/23/15 11:06:30 PM,23.773,1636.1
5,04/23/15 11:07:00 PM,23.773,1550.0
6,04/23/15 11:07:30 PM,23.773,1550.0
7,04/23/15 11:08:00 PM,23.773,1550.0
8,04/23/15 11:08:30 PM,23.773,1550.0
9,04/23/15 11:09:00 PM,23.773,1550.0
10,04/23/15 11:09:30 PM,23.773,1550.0
11,04/23/15 11:10:00 PM,23.773,1463.9
12,04/23/15 11:10:30 PM,23.773,1463.9
13,04/23/15 11:11:00 PM,23.773,1463.9
14,04/23/15 11:11:30 PM,23.773,1463.9
15,04/23/15 11:12:00 PM,23.773,1463.9
16,04/23/15 11:12:30 PM,23.773,1463.9
17,04/23/15 11:13:00 PM,23.677,1463.9
18,04/23/15 11:13:30 PM,23.773,1463.9
19,04/23/15 11:14:00 PM,23.773,1463.9
20,04/23/15 11:14:30 PM,23.773,1377.8
21,04/23/15 11:15:00 PM,23.773,1377.8
22,04/23/15 11:15:30 PM,23.773,1377.8
23,04/23/15 11:16:00 PM,23.773,1377.8
24,04/23/15 11:16:30 PM,23.773,1377.8
25,04/23/15 11:17:00 PM,23.773,1377.8
26,04/23/15 11:17:30 PM,23.773,1377.8
27,04/23/15 11:18:00 PM,23.773,1377.8
28,04/23/15 11:18:30 PM,23.773,1377.8
29,04/23/15 11:19:00 PM,23.773,1345.5
30,04/23/15 11:19:30 PM,23.773,1334.7
31,04/23/15 11:20:00 PM,23.773,1313.2
32,04/23/15 11:20:30 PM,23.773,1302.4
33,04/23/15 11:21:00 PM,23.773,1280.9
34,04/23/15 11:21:30 PM,23.677,1270.1
