"Plot Title: 10068922_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 10068922, SEN S/N: 10068922)","Intensity, Lux (LGR S/N: 10068922, SEN S/N: 10068922)"
1,04/23/15 11:00:00 PM,24.062,1722.2
2,04/23/15 11:00:30 PM,24.062,1722.2
3,04/23/15 11:01:00 PM,24.062,1722.2
4,04/23/15 11:01:30 PM,24.062,1636.1
5,04/23/15 11:02:00 PM,24.158,1636.1
6,04/23/15 11:02:30 PM,24.158,1636.1
7,04/23/15 11:03:00 PM,24.158,1636.1
8,04/23/15 11:03:30 PM,24.158,1636.1
9,04/23/15 11:04:00 PM,24.158,1636.1
10,04/23/15 11:04:30 PM,24.158,1550.0
11,04/23/15 11:05:00 PM,24.158,1550.0
12,04/23/15 11:05:30 PM,24.158,1550.0
13,04/23/15 11:06:00 PM,24.158,1550.0
14,04/23/15 11:06:30 PM,24.158,1550.0
15,04/23/15 11:07:00 PM,24.158,1550.0
16,04/23/15 11:07:30 PM,24.158,1550.0
17,04/23/15 11:08:00 PM,24.158,1463.9
18,04/23/15 11:08:30 PM,24.158,1463.9
19,04/23/15 11:09:00 PM,24.158,1463.9
20,04/23/15 11:09:30 PM,24.158,1463.9
21,04/23/15 11:10:00 PM,24.158,1463.9
22,04/23/15 11:10:30 PM,24.158,1463.9
23,04/23/15 11:11:00 PM,24.062,1463.9
24,04/23/15 11:11:30 PM,24.062,1463.9
25,04/23/15 11:12:00 PM,24.062,1377.8
26,04/23/15 11:12:30 PM,24.062,1377.8
27,04/23/15 11:13:00 PM,24.062,1377.8
28,04/23/15 11:13:30 PM,24.062,1377.8
29,04/23/15 11:14:00 PM,24.062,1377.8
30,04/23/15 11:14:30 PM,24.062,1377.8
31,04/23/15 11:15:00 PM,24.062,1377.8
32,04/23/15 11:15:30 PM,23.966,1377.8
33,04/23/15 11:16:00 PM,23.966,1377.8
34,04/23/15 11:16:30 PM,23.966,1377.8
35,04/23/15 11:17:00 PM,23.966,1356.3
36,04/23/15 11:17:30 PM,23.966,1356.3
37,04/23/15 11:18:00 PM,23.966,1345.5
38,04/23/15 11:18:30 PM,23.869,1334.7
39,04/23/15 11:19:00 PM,23.869,1313.2
40,04/23/15 11:19:30 PM,23.869,1302.4
41,04/23/15 11:20:00 PM,23.869,1291.7
42,04/23/15 11:20:30 PM,23.869,1270.1
43,04/23/15 11:21:00 PM,23.773,1259.4
44,04/23/15 11:21:30 PM,23.773,1248.6
45,04/23/15 11:22:00 PM,23.773,1227.1
46,04/23/15 11:22:30 PM,23.773,1216.3
47,04/23/15 11:23:00 PM,23.773,1205.6
48,04/23/15 11:23:30 PM,23.773,1184.0
49,04/23/15 11:24:00 PM,23.773,1151.7
50,04/23/15 11:24:30 PM,23.677,1130.2
51,04/23/15 11:25:00 PM,23.677,1108.7
52,04/23/15 11:25:30 PM,23.677,1087.2
53,04/23/15 11:26:00 PM,23.677,1076.4
54,04/23/15 11:26:30 PM,23.677,1054.9
55,04/23/15 11:27:00 PM,23.581,1044.1
56,04/23/15 11:27:30 PM,23.581,1022.6
57,04/23/15 11:28:00 PM,23.581,1011.8
58,04/23/15 11:28:30 PM,23.581,990.3
59,04/23/15 11:29:00 PM,23.581,979.5
60,04/23/15 11:29:30 PM,23.484,968.8
61,04/23/15 11:30:00 PM,23.484,947.2
62,04/23/15 11:30:30 PM,23.484,936.5
63,04/23/15 11:31:00 PM,23.484,914.9
64,04/23/15 11:31:30 PM,23.484,904.2
65,04/23/15 11:32:00 PM,23.388,893.4
66,04/23/15 11:32:30 PM,23.388,882.6
67,04/23/15 11:33:00 PM,23.388,871.9
68,04/23/15 11:33:30 PM,23.388,861.1
69,04/23/15 11:34:00 PM,23.388,850.4
70,04/23/15 11:34:30 PM,23.388,839.6
71,04/23/15 11:35:00 PM,23.292,828.8
72,04/23/15 11:35:30 PM,23.292,818.1
73,04/23/15 11:36:00 PM,23.292,807.3
74,04/23/15 11:36:30 PM,23.292,796.5
75,04/23/15 11:37:00 PM,23.292,796.5
76,04/23/15 11:37:30 PM,23.196,785.8
77,04/23/15 11:38:00 PM,23.196,785.8
78,04/23/15 11:38:30 PM,23.196,775.0
79,04/23/15 11:39:00 PM,23.196,764.2
