"Plot Title: 9910332_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 9910332, SEN S/N: 9910332)","Intensity, Lux (LGR S/N: 9910332, SEN S/N: 9910332)"
1,04/23/15 11:30:00 PM,26.292,936.5
2,04/23/15 11:30:30 PM,26.097,925.7
3,04/23/15 11:31:00 PM,26.000,914.9
4,04/23/15 11:31:30 PM,25.902,904.2
5,04/23/15 11:32:00 PM,25.805,893.4
6,04/23/15 11:32:30 PM,25.708,893.4
7,04/23/15 11:33:00 PM,25.513,882.6
8,04/23/15 11:33:30 PM,25.513,871.9
9,04/23/15 11:34:00 PM,25.416,861.1
10,04/23/15 11:34:30 PM,25.319,850.4
11,04/23/15 11:35:00 PM,25.222,850.4
12,04/23/15 11:35:30 PM,25.125,839.6
13,04/23/15 11:36:00 PM,25.028,828.8
14,04/23/15 11:36:30 PM,24.931,828.8
15,04/23/15 11:37:00 PM,24.931,818.1
16,04/23/15 11:37:30 PM,24.835,807.3
17,04/23/15 11:38:00 PM,24.738,796.5
18,04/23/15 11:38:30 PM,24.738,796.5
19,04/23/15 11:39:00 PM,24.641,796.5
20,04/23/15 11:39:30 PM,24.641,785.8
21,04/23/15 11:40:00 PM,24.545,785.8
22,04/23/15 11:40:30 PM,24.545,775.0
23,04/23/15 11:41:00 PM,24.448,775.0
24,04/23/15 11:41:30 PM,24.448,764.2
25,04/23/15 11:42:00 PM,24.351,764.2
26,04/23/15 11:42:30 PM,24.351,764.2
27,04/23/15 11:43:00 PM,24.255,753.5
28,04/23/15 11:43:30 PM,24.255,753.5
29,04/23/15 11:44:00 PM,24.255,742.7
30,04/23/15 11:44:30 PM,24.158,742.7
31,04/23/15 11:45:00 PM,24.158,731.9
32,04/23/15 11:45:30 PM,24.158,731.9
33,04/23/15 11:46:00 PM,24.062,721.2
34,04/23/15 11:46:30 PM,24.062,721.2
35,04/23/15 11:47:00 PM,24.062,721.2
36,04/23/15 11:47:30 PM,23.966,710.4
37,04/23/15 11:48:00 PM,23.966,710.4
38,04/23/15 11:48:30 PM,23.966,699.7
39,04/23/15 11:49:00 PM,23.966,688.9
40,04/23/15 11:49:30 PM,23.869,678.1
41,04/23/15 11:50:00 PM,23.869,678.1
42,04/23/15 11:50:30 PM,23.869,667.4
43,04/23/15 11:51:00 PM,23.869,667.4
44,04/23/15 11:51:30 PM,23.773,656.6
45,04/23/15 11:52:00 PM,23.773,645.8
46,04/23/15 11:52:30 PM,23.773,635.1
47,04/23/15 11:53:00 PM,23.773,624.3
48,04/23/15 11:53:30 PM,23.677,624.3
49,04/23/15 11:54:00 PM,23.677,613.5
50,04/23/15 11:54:30 PM,23.677,602.8
51,04/23/15 11:55:00 PM,23.677,602.8
