"Plot Title: 9786169_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 9786169, SEN S/N: 9786169)","Intensity, Lux (LGR S/N: 9786169, SEN S/N: 9786169)"
1,04/23/15 11:00:00 PM,24.158,1808.3
2,04/23/15 11:00:30 PM,24.158,1808.3
3,04/23/15 11:01:00 PM,24.158,1808.3
4,04/23/15 11:01:30 PM,24.158,1808.3
5,04/23/15 11:02:00 PM,24.158,1722.2
6,04/23/15 11:02:30 PM,24.158,1722.2
7,04/23/15 11:03:00 PM,24.158,1722.2
8,04/23/15 11:03:30 PM,24.255,1722.2
9,04/23/15 11:04:00 PM,24.158,1722.2
10,04/23/15 11:04:30 PM,24.255,1722.2
11,04/23/15 11:05:00 PM,24.255,1636.1
12,04/23/15 11:05:30 PM,24.255,1636.1
13,04/23/15 11:06:00 PM,24.255,1636.1
14,04/23/15 11:06:30 PM,24.255,1636.1
15,04/23/15 11:07:00 PM,24.158,1636.1
16,04/23/15 11:07:30 PM,24.158,1636.1
17,04/23/15 11:08:00 PM,24.158,1550.0
18,04/23/15 11:08:30 PM,24.158,1550.0
19,04/23/15 11:09:00 PM,24.158,1550.0
20,04/23/15 11:09:30 PM,24.158,1550.0
21,04/23/15 11:10:00 PM,24.158,1550.0
22,04/23/15 11:10:30 PM,24.158,1550.0
23,04/23/15 11:11:00 PM,24.158,1550.0
24,04/23/15 11:11:30 PM,24.158,1550.0
25,04/23/15 11:12:00 PM,24.158,1463.9
26,04/23/15 11:12:30 PM,24.062,1463.9
27,04/23/15 11:13:00 PM,24.062,1463.9
28,04/23/15 11:13:30 PM,24.062,1463.9
29,04/23/15 11:14:00 PM,24.062,1463.9
30,04/23/15 11:14:30 PM,24.062,1463.9
31,04/23/15 11:15:00 PM,24.062,1463.9
32,04/23/15 11:15:30 PM,24.062,1377.8
33,04/23/15 11:16:00 PM,23.966,1377.8
34,04/23/15 11:16:30 PM,23.966,1377.8
35,04/23/15 11:17:00 PM,23.966,1377.8
36,04/23/15 11:17:30 PM,23.966,1377.8
37,04/23/15 11:18:00 PM,23.966,1377.8
38,04/23/15 11:18:30 PM,23.966,1377.8
39,04/23/15 11:19:00 PM,23.966,1377.8
40,04/23/15 11:19:30 PM,23.869,1356.3
41,04/23/15 11:20:00 PM,23.869,1334.7
42,04/23/15 11:20:30 PM,23.869,1313.2
43,04/23/15 11:21:00 PM,23.869,1302.4
44,04/23/15 11:21:30 PM,23.869,1291.7
45,04/23/15 11:22:00 PM,23.773,1280.9
46,04/23/15 11:22:30 PM,23.773,1259.4
47,04/23/15 11:23:00 PM,23.773,1248.6
48,04/23/15 11:23:30 PM,23.773,1227.1
49,04/23/15 11:24:00 PM,23.773,1194.8
