"Plot Title: 1071221_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 1071221, SEN S/N: 1071221)","Intensity, Lux (LGR S/N: 1071221, SEN S/N: 1071221)"
1,04/23/15 11:00:00 PM,24.835,1722.2
2,04/23/15 11:00:30 PM,24.835,1722.2
3,04/23/15 11:01:00 PM,24.835,1722.2
4,04/23/15 11:01:30 PM,24.835,1636.1
5,04/23/15 11:02:00 PM,24.835,1636.1
6,04/23/15 11:02:30 PM,24.835,1636.1
7,04/23/15 11:03:00 PM,24.835,1636.1
8,04/23/15 11:03:30 PM,24.835,1636.1
9,04/23/15 11:04:00 PM,24.835,1550.0
10,04/23/15 11:04:30 PM,24.738,1550.0
11,04/23/15 11:05:00 PM,24.738,1550.0
12,04/23/15 11:05:30 PM,24.738,1550.0
13,04/23/15 11:06:00 PM,24.738,1550.0
14,04/23/15 11:06:30 PM,24.738,1550.0
15,04/23/15 11:07:00 PM,24.738,1463.9
16,04/23/15 11:07:30 PM,24.641,1463.9
17,04/23/15 11:08:00 PM,24.641,1463.9
18,04/23/15 11:08:30 PM,24.641,1463.9
19,04/23/15 11:09:00 PM,24.641,1463.9
20,04/23/15 11:09:30 PM,24.545,1463.9
21,04/23/15 11:10:00 PM,24.545,1377.8
22,04/23/15 11:10:30 PM,24.545,1377.8
23,04/23/15 11:11:00 PM,24.545,1377.8
24,04/23/15 11:11:30 PM,24.448,1377.8
25,04/23/15 11:12:00 PM,24.448,1377.8
26,04/23/15 11:12:30 PM,24.448,1377.8
27,04/23/15 11:13:00 PM,24.448,1377.8
28,04/23/15 11:13:30 PM,24.448,1377.8
29,04/23/15 11:14:00 PM,24.351,1377.8
30,04/23/15 11:14:30 PM,24.351,1377.8
31,04/23/15 11:15:00 PM,24.351,1356.3
32,04/23/15 11:15:30 PM,24.351,1345.5
33,04/23/15 11:16:00 PM,24.351,1334.7
34,04/23/15 11:16:30 PM,24.255,1324.0
35,04/23/15 11:17:00 PM,24.255,1313.2
36,04/23/15 11:17:30 PM,24.255,1302.4
37,04/23/15 11:18:00 PM,24.255,1291.7
38,04/23/15 11:18:30 PM,24.158,1280.9
39,04/23/15 11:19:00 PM,24.158,1270.1
40,04/23/15 11:19:30 PM,24.158,1248.6
41,04/23/15 11:20:00 PM,24.158,1237.9
42,04/23/15 11:20:30 PM,24.062,1216.3
43,04/23/15 11:21:00 PM,24.062,1205.6
44,04/23/15 11:21:30 PM,24.062,1194.8
45,04/23/15 11:22:00 PM,24.062,1162.5
46,04/23/15 11:22:30 PM,24.062,1141.0
47,04/23/15 11:23:00 PM,23.966,1130.2
48,04/23/15 11:23:30 PM,23.966,1108.7
49,04/23/15 11:24:00 PM,23.966,1087.2
50,04/23/15 11:24:30 PM,23.966,1076.4
51,04/23/15 11:25:00 PM,23.966,1044.1
52,04/23/15 11:25:30 PM,23.966,1022.6
53,04/23/15 11:26:00 PM,23.869,1001.0
54,04/23/15 11:26:30 PM,23.869,990.3
55,04/23/15 11:27:00 PM,23.869,968.8
56,04/23/15 11:27:30 PM,23.869,958.0
57,04/23/15 11:28:00 PM,23.773,947.2
58,04/23/15 11:28:30 PM,23.773,936.5
59,04/23/15 11:29:00 PM,23.773,914.9
60,04/23/15 11:29:30 PM,23.773,904.2
61,04/23/15 11:30:00 PM,23.773,893.4
62,04/23/15 11:30:30 PM,23.677,882.6
63,04/23/15 11:31:00 PM,23.677,871.9
64,04/23/15 11:31:30 PM,23.677,850.4
65,04/23/15 11:32:00 PM,23.677,839.6
66,04/23/15 11:32:30 PM,23.581,839.6
67,04/23/15 11:33:00 PM,23.581,828.8
68,04/23/15 11:33:30 PM,23.581,818.1
69,04/23/15 11:34:00 PM,23.581,807.3
70,04/23/15 11:34:30 PM,23.581,796.5
71,04/23/15 11:35:00 PM,23.581,785.8
72,04/23/15 11:35:30 PM,23.484,775.0
73,04/23/15 11:36:00 PM,23.484,764.2
74,04/23/15 11:36:30 PM,23.484,753.5
75,04/23/15 11:37:00 PM,23.484,753.5
76,04/23/15 11:37:30 PM,23.388,753.5
77,04/23/15 11:38:00 PM,23.388,742.7
78,04/23/15 11:38:30 PM,23.388,742.7
79,04/23/15 11:39:00 PM,23.388,731.9
80,04/23/15 11:39:30 PM,23.388,731.9
81,04/23/15 11:40:00 PM,23.388,721.2
82,04/23/15 11:40:30 PM,23.292,721.2
83,04/23/15 11:41:00 PM,23.292,710.4
84,04/23/15 11:41:30 PM,23.292,710.4
85,04/23/15 11:42:00 PM,23.292,710.4
86,04/23/15 11:42:30 PM,23.292,699.7
87,04/23/15 11:43:00 PM,23.292,699.7
88,04/23/15 11:43:30 PM,23.196,688.9
89,04/23/15 11:44:00 PM,23.196,688.9
90,04/23/15 11:44:30 PM,23.196,688.9
91,04/23/15 11:45:00 PM,23.196,688.9
92,04/23/15 11:45:30 PM,23.196,688.9
93,04/23/15 11:46:00 PM,23.196,678.1
94,04/23/15 11:46:30 PM,23.100,678.1
95,04/23/15 11:47:00 PM,23.100,667.4
96,04/23/15 11:47:30 PM,23.100,667.4
97,04/23/15 11:48:00 PM,23.100,656.6
98,04/23/15 11:48:30 PM,23.100,656.6
99,04/23/15 11:49:00 PM,23.100,645.8
100,04/23/15 11:49:30 PM,23.100,635.1
101,04/23/15 11:50:00 PM,23.004,635.1
102,04/23/15 11:50:30 PM,23.004,624.3
103,04/23/15 11:51:00 PM,23.004,624.3
104,04/23/15 11:51:30 PM,23.004,613.5
105,04/23/15 11:52:00 PM,23.004,613.5
106,04/23/15 11:52:30 PM,23.004,602.8
107,04/23/15 11:53:00 PM,22.908,592.0
108,04/23/15 11:53:30 PM,22.908,581.3
109,04/23/15 11:54:00 PM,22.908,570.5
110,04/23/15 11:54:30 PM,22.908,570.5
111,04/23/15 11:55:00 PM,22.908,559.7
112,04/23/15 11:55:30 PM,22.908,559.7
113,04/23/15 11:56:00 PM,22.908,549.0
114,04/23/15 11:56:30 PM,22.908,549.0
115,04/23/15 11:57:00 PM,22.812,538.2
116,04/23/15 11:57:30 PM,22.812,527.4
117,04/23/15 11:58:00 PM,22.812,516.7
118,04/23/15 11:58:30 PM,22.812,516.7
119,04/23/15 11:59:00 PM,22.812,516.7
120,04/23/15 11:59:30 PM,22.812,505.9
121,04/24/15 12:00:00 AM,22.717,505.9
122,04/24/15 12:00:30 AM,22.717,495.1
123,04/24/15 12:01:00 AM,22.717,495.1
124,04/24/15 12:01:30 AM,22.717,484.4
125,04/24/15 12:02:00 AM,22.717,484.4
126,04/24/15 12:02:30 AM,22.717,473.6
127,04/24/15 12:03:00 AM,22.621,462.9
128,04/24/15 12:03:30 AM,22.621,462.9
129,04/24/15 12:04:00 AM,22.621,452.1
130,04/24/15 12:04:30 AM,22.621,452.1
131,04/24/15 12:05:00 AM,22.621,441.3
132,04/24/15 12:05:30 AM,22.621,430.6
133,04/24/15 12:06:00 AM,22.525,430.6
134,04/24/15 12:06:30 AM,22.525,419.8
135,04/24/15 12:07:00 AM,22.525,409.0
136,04/24/15 12:07:30 AM,22.525,409.0
137,04/24/15 12:08:00 AM,22.525,398.3
138,04/24/15 12:08:30 AM,22.429,387.5
139,04/24/15 12:09:00 AM,22.429,387.5
140,04/24/15 12:09:30 AM,22.429,376.7
141,04/24/15 12:10:00 AM,22.429,366.0
142,04/24/15 12:10:30 AM,22.429,355.2
143,04/24/15 12:11:00 AM,22.429,344.4
144,04/24/15 12:11:30 AM,22.333,344.4
145,04/24/15 12:12:00 AM,22.333,322.9
146,04/24/15 12:12:30 AM,22.333,312.2
147,04/24/15 12:13:00 AM,22.333,312.2
148,04/24/15 12:13:30 AM,22.333,301.4
149,04/24/15 12:14:00 AM,22.333,290.6
150,04/24/15 12:14:30 AM,22.238,279.9
151,04/24/15 12:15:00 AM,22.238,279.9
152,04/24/15 12:15:30 AM,22.238,269.1
153,04/24/15 12:16:00 AM,22.238,258.3
154,04/24/15 12:16:30 AM,22.238,258.3
155,04/24/15 12:17:00 AM,22.238,247.6
156,04/24/15 12:17:30 AM,22.238,236.8
