"Plot Title: 9910305_RSA_Robokelp_Apr15"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 9910305, SEN S/N: 9910305)","Intensity, Lux (LGR S/N: 9910305, SEN S/N: 9910305)"
1,04/23/15 11:25:00 PM,26.488,968.8
2,04/23/15 11:25:30 PM,26.292,947.2
3,04/23/15 11:26:00 PM,26.195,936.5
4,04/23/15 11:26:30 PM,26.097,914.9
5,04/23/15 11:27:00 PM,26.000,914.9
6,04/23/15 11:27:30 PM,25.902,904.2
7,04/23/15 11:28:00 PM,25.805,893.4
8,04/23/15 11:28:30 PM,25.610,882.6
9,04/23/15 11:29:00 PM,25.513,871.9
10,04/23/15 11:29:30 PM,25.416,861.1
11,04/23/15 11:30:00 PM,25.416,850.4
12,04/23/15 11:30:30 PM,25.319,850.4
13,04/23/15 11:31:00 PM,25.222,839.6
14,04/23/15 11:31:30 PM,25.125,828.8
15,04/23/15 11:32:00 PM,25.028,818.1
16,04/23/15 11:32:30 PM,24.931,818.1
17,04/23/15 11:33:00 PM,24.835,807.3
18,04/23/15 11:33:30 PM,24.835,796.5
19,04/23/15 11:34:00 PM,24.738,785.8
20,04/23/15 11:34:30 PM,24.738,785.8
21,04/23/15 11:35:00 PM,24.641,764.2
22,04/23/15 11:35:30 PM,24.545,764.2
23,04/23/15 11:36:00 PM,24.545,753.5
24,04/23/15 11:36:30 PM,24.448,753.5
25,04/23/15 11:37:00 PM,24.448,753.5
26,04/23/15 11:37:30 PM,24.351,742.7
27,04/23/15 11:38:00 PM,24.351,731.9
28,04/23/15 11:38:30 PM,24.255,731.9
29,04/23/15 11:39:00 PM,24.255,731.9
30,04/23/15 11:39:30 PM,24.158,721.2
31,04/23/15 11:40:00 PM,24.158,721.2
32,04/23/15 11:40:30 PM,24.158,710.4
33,04/23/15 11:41:00 PM,24.062,710.4
34,04/23/15 11:41:30 PM,24.062,699.7
35,04/23/15 11:42:00 PM,24.062,699.7
36,04/23/15 11:42:30 PM,23.966,699.7
37,04/23/15 11:43:00 PM,23.966,699.7
38,04/23/15 11:43:30 PM,23.966,688.9
39,04/23/15 11:44:00 PM,23.869,688.9
40,04/23/15 11:44:30 PM,23.869,688.9
41,04/23/15 11:45:00 PM,23.869,678.1
42,04/23/15 11:45:30 PM,23.773,678.1
43,04/23/15 11:46:00 PM,23.773,667.4
44,04/23/15 11:46:30 PM,23.773,667.4
45,04/23/15 11:47:00 PM,23.773,656.6
46,04/23/15 11:47:30 PM,23.677,656.6
47,04/23/15 11:48:00 PM,23.677,645.8
48,04/23/15 11:48:30 PM,23.677,645.8
